15428508	/m/03m88rl	Cutie Honey	2004	4300000	93	"{""/m/03_9r"": ""Japanese Language""}"	"{""/m/03_3d"": ""Japan""}"	"{""/m/03btsm8"": ""Action/Adventure"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03q4nz"": ""World cinema""}"	It takes place in Paris and features Eddie Vuibert , an unemployed man in financial difficulty. A rich Jewish cloth manufacturer takes Eddie into his corporation out of pity because he mistakenly believes him to be Jewish as well. Eddie rapidly integrates in the parisian Jewish community and rises as a sales manager. He continues his masquerade of pretending to be Ashkenazi Jew in order to woo his boss's daughter . It was followed by a sequel, La Vérité si je mens ! 2, and a third movie La Vérité si je mens ! 3.
15428705	/m/03m892y	Hypnosis	1920-01-03			"{""/m/06ppq"": ""Silent film""}"	"{""/m/0345h"": ""Germany""}"	"{""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white""}"	It takes place in Paris and features Eddie Vuibert , an unemployed man in financial difficulty. A rich Jewish cloth manufacturer takes Eddie into his corporation out of pity because he mistakenly believes him to be Jewish as well. Eddie rapidly integrates in the parisian Jewish community and rises as a sales manager. He continues his masquerade of pretending to be Ashkenazi Jew in order to woo his boss's daughter . It was followed by a sequel, La Vérité si je mens ! 2, and a third movie La Vérité si je mens ! 3.
15428856	/m/03m89bh	Nat Pinkerton in the Fight	1920-08-07			"{""/m/06ppq"": ""Silent film""}"	"{""/m/0345h"": ""Germany""}"	"{""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white""}"	It takes place in Paris and features Eddie Vuibert , an unemployed man in financial difficulty. A rich Jewish cloth manufacturer takes Eddie into his corporation out of pity because he mistakenly believes him to be Jewish as well. Eddie rapidly integrates in the parisian Jewish community and rises as a sales manager. He continues his masquerade of pretending to be Ashkenazi Jew in order to woo his boss's daughter . It was followed by a sequel, La Vérité si je mens ! 2, and a third movie La Vérité si je mens ! 3.
15429043	/m/03m89r7	The Deerslayer and Chingachgook	1920		59	"{""/m/06ppq"": ""Silent film""}"	"{""/m/0345h"": ""Germany""}"	"{""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/060__y"": ""Film adaptation"", ""/m/01g6gs"": ""Black-and-white"", ""/m/0hfjk"": ""Western"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film""}"	It takes place in Paris and features Eddie Vuibert , an unemployed man in financial difficulty. A rich Jewish cloth manufacturer takes Eddie into his corporation out of pity because he mistakenly believes him to be Jewish as well. Eddie rapidly integrates in the parisian Jewish community and rises as a sales manager. He continues his masquerade of pretending to be Ashkenazi Jew in order to woo his boss's daughter . It was followed by a sequel, La Vérité si je mens ! 2, and a third movie La Vérité si je mens ! 3.
15429977	/m/03m8cvz	In the Ecstasy of Billions	1920-09-23			"{""/m/06ppq"": ""Silent film""}"	"{""/m/0345h"": ""Germany""}"	"{""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white""}"	It takes place in Paris and features Eddie Vuibert , an unemployed man in financial difficulty. A rich Jewish cloth manufacturer takes Eddie into his corporation out of pity because he mistakenly believes him to be Jewish as well. Eddie rapidly integrates in the parisian Jewish community and rises as a sales manager. He continues his masquerade of pretending to be Ashkenazi Jew in order to woo his boss's daughter . It was followed by a sequel, La Vérité si je mens ! 2, and a third movie La Vérité si je mens ! 3.
15430254	/m/03m8f6m	On the Brink of Paradise	1920-10-07			"{""/m/06ppq"": ""Silent film""}"	"{""/m/0345h"": ""Germany""}"	"{""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white"", ""/m/03k9fj"": ""Adventure""}"	It takes place in Paris and features Eddie Vuibert , an unemployed man in financial difficulty. A rich Jewish cloth manufacturer takes Eddie into his corporation out of pity because he mistakenly believes him to be Jewish as well. Eddie rapidly integrates in the parisian Jewish community and rises as a sales manager. He continues his masquerade of pretending to be Ashkenazi Jew in order to woo his boss's daughter . It was followed by a sequel, La Vérité si je mens ! 2, and a third movie La Vérité si je mens ! 3.
15430631	/m/03m8h7m	Caravan of Death	1920-11-16			"{""/m/06ppq"": ""Silent film""}"	"{""/m/0345h"": ""Germany""}"	"{""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white""}"	It takes place in Paris and features Eddie Vuibert , an unemployed man in financial difficulty. A rich Jewish cloth manufacturer takes Eddie into his corporation out of pity because he mistakenly believes him to be Jewish as well. Eddie rapidly integrates in the parisian Jewish community and rises as a sales manager. He continues his masquerade of pretending to be Ashkenazi Jew in order to woo his boss's daughter . It was followed by a sequel, La Vérité si je mens ! 2, and a third movie La Vérité si je mens ! 3.
15431228	/m/03m8l9_	The Last of the Mohicans	1920-11-10			"{""/m/06ppq"": ""Silent film""}"	"{""/m/0345h"": ""Germany""}"	"{""/m/06ppq"": ""Silent film"", ""/m/082gq"": ""War film"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white"", ""/m/03k9fj"": ""Adventure""}"	It takes place in Paris and features Eddie Vuibert , an unemployed man in financial difficulty. A rich Jewish cloth manufacturer takes Eddie into his corporation out of pity because he mistakenly believes him to be Jewish as well. Eddie rapidly integrates in the parisian Jewish community and rises as a sales manager. He continues his masquerade of pretending to be Ashkenazi Jew in order to woo his boss's daughter . It was followed by a sequel, La Vérité si je mens ! 2, and a third movie La Vérité si je mens ! 3.
15432396	/m/03m8rjq	Codename: Robotech			73	"{""/m/02h40lc"": ""English Language""}"	{}	"{""/m/06n90"": ""Science Fiction"", ""/m/0jxy"": ""Anime"", ""/m/01hmnh"": ""Fantasy""}"	It takes place in Paris and features Eddie Vuibert , an unemployed man in financial difficulty. A rich Jewish cloth manufacturer takes Eddie into his corporation out of pity because he mistakenly believes him to be Jewish as well. Eddie rapidly integrates in the parisian Jewish community and rises as a sales manager. He continues his masquerade of pretending to be Ashkenazi Jew in order to woo his boss's daughter . It was followed by a sequel, La Vérité si je mens ! 2, and a third movie La Vérité si je mens ! 3.
15432504	/m/03m8rrl	Death Scream	1975-09-26		96	"{""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/07s9rl0"": ""Drama"", ""/m/01f9r0"": ""Docudrama"", ""/m/0hj3mws"": ""Biopic [feature]""}"	It takes place in Paris and features Eddie Vuibert , an unemployed man in financial difficulty. A rich Jewish cloth manufacturer takes Eddie into his corporation out of pity because he mistakenly believes him to be Jewish as well. Eddie rapidly integrates in the parisian Jewish community and rises as a sales manager. He continues his masquerade of pretending to be Ashkenazi Jew in order to woo his boss's daughter . It was followed by a sequel, La Vérité si je mens ! 2, and a third movie La Vérité si je mens ! 3.
