35370938	/m/0h1ny67	We the Party	2011			"{""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/01z4y"": ""Comedy""}"	"The film opens on Super 8 footage where a family of four are standing under a tree with bags over their heads and nooses around their necks. An unseen figure saws a tree limb acting as a counterweight with a pole saw, and cuts it off, sending the family up, strangling them. Months later, true-crime novelist Ellison Oswalt  moves into the same house as the murdered family with his wife, Tracy , and their two children Ashley  and Trevor . Ellison uses the murders as the basis for his new book. Supposedly, there were five members in the family, and one of the children went missing after the murders. Ellison finds a box in the attic, which contains a projector and several reels of Super 8 footage that are each labeled as if innocent home movies. He watches the films, all depicting families murdered in various ways, including having their throats slit in bed , an arson , being drowned in their pool , being run over by a lawn mower  and the hanging that opened the movie . The drowning one proves especially disturbing for him, as he sees a dark figure with a demonic face in the pool. Upon seeing figure, strange things begin happening around the house. Ellison continues to observe the films, and discovers strange things in them, such as symbols painted near the murder scenes, and the demonic figure, which he eventually notices in every film. He calls a deputy  to help him find the location of these murders. After going through the images, the deputy refers him to a local professor, Jonas , whose expertise lies within the occult and demonic phenomena, to decipher the symbol in the films. Jonas tells Ellison that the symbols are that of a Pagan deity named Bughuul, who was known as an eater of children's souls, killing the families of the child and then taking the child to his own netherworld. One night, Ellison hears the film projector running and goes up to the attic. He finds five children  watching one of the films. Bughuul suddenly appears on camera, up-close, unlike in any of the other films. When Bughuul suddenly appears in front of him, Ellison falls from the attic. Having had enough, he burns the projector and the film and moves out with his family. Upon returning to their old house, he goes into the attic and finds the box containing the projector and film, completely unharmed. However, there is a new item inside: an envelope with ""extended endings."" Within that, Ellison finds that after each murder took place, the missing child would come onscreen, revealing them to be the murderers, and then disappear. Ellison again chats with Professor Jonas, who sends him scans of rare historical drawings of the mysterious symbol and explains that Bughuul supposedly lived in the images, which acted as portals between his realm and the mortal realm. Shortly after, the deputy, whose repeated calls Ellison had been ignoring all day, calls again and this time Ellison picks up. The deputy informs him that he has discovered the link between the murders: each family had last lived in the house where the previous murder had taken place. By moving out of the house, the deputy continues, Ellison has put himself and his family in place to continue the pattern. Ellison begins feeling light-headed. He looks in his empty coffee cup and finds a mysterious liquid left behind, then notices the note that was under his cup from his daughter reading ""Good Night Daddy"", and loses consciousness. Upon waking, he finds himself, his wife and son bound and gagged in the same manner as the families in the Super 8 films. Ashley walks in, carrying an axe and a Super 8 camera. She then, using the axe, murders her family, and paints the walls in their blood, with several childish images such as unicorns, cats and dogs . She then goes to the projector and plays the film she just took, revealing the children in the hallway. Upon Bughuul's appearance, the children run away. Bughuul's hands are covered in the mysterious green liquid from Ellison's coffee cup, implying it was his blood. Bughuul picks up Ashley and walks into the film with her. The final shot shows the box of film in the attic of the Oswalt house, this time with a new canister that reads ""House Painting '12"". Suddenly, Bughuul appears , implying that the viewers are his next victims."
35372426	/m/0j9k2pd	Ghamandee	1981-01-30		110	"{""/m/03k50"": ""Hindi Language""}"	"{""/m/03rk0"": ""India""}"	"{""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action""}"	"The film opens on Super 8 footage where a family of four are standing under a tree with bags over their heads and nooses around their necks. An unseen figure saws a tree limb acting as a counterweight with a pole saw, and cuts it off, sending the family up, strangling them. Months later, true-crime novelist Ellison Oswalt  moves into the same house as the murdered family with his wife, Tracy , and their two children Ashley  and Trevor . Ellison uses the murders as the basis for his new book. Supposedly, there were five members in the family, and one of the children went missing after the murders. Ellison finds a box in the attic, which contains a projector and several reels of Super 8 footage that are each labeled as if innocent home movies. He watches the films, all depicting families murdered in various ways, including having their throats slit in bed , an arson , being drowned in their pool , being run over by a lawn mower  and the hanging that opened the movie . The drowning one proves especially disturbing for him, as he sees a dark figure with a demonic face in the pool. Upon seeing figure, strange things begin happening around the house. Ellison continues to observe the films, and discovers strange things in them, such as symbols painted near the murder scenes, and the demonic figure, which he eventually notices in every film. He calls a deputy  to help him find the location of these murders. After going through the images, the deputy refers him to a local professor, Jonas , whose expertise lies within the occult and demonic phenomena, to decipher the symbol in the films. Jonas tells Ellison that the symbols are that of a Pagan deity named Bughuul, who was known as an eater of children's souls, killing the families of the child and then taking the child to his own netherworld. One night, Ellison hears the film projector running and goes up to the attic. He finds five children  watching one of the films. Bughuul suddenly appears on camera, up-close, unlike in any of the other films. When Bughuul suddenly appears in front of him, Ellison falls from the attic. Having had enough, he burns the projector and the film and moves out with his family. Upon returning to their old house, he goes into the attic and finds the box containing the projector and film, completely unharmed. However, there is a new item inside: an envelope with ""extended endings."" Within that, Ellison finds that after each murder took place, the missing child would come onscreen, revealing them to be the murderers, and then disappear. Ellison again chats with Professor Jonas, who sends him scans of rare historical drawings of the mysterious symbol and explains that Bughuul supposedly lived in the images, which acted as portals between his realm and the mortal realm. Shortly after, the deputy, whose repeated calls Ellison had been ignoring all day, calls again and this time Ellison picks up. The deputy informs him that he has discovered the link between the murders: each family had last lived in the house where the previous murder had taken place. By moving out of the house, the deputy continues, Ellison has put himself and his family in place to continue the pattern. Ellison begins feeling light-headed. He looks in his empty coffee cup and finds a mysterious liquid left behind, then notices the note that was under his cup from his daughter reading ""Good Night Daddy"", and loses consciousness. Upon waking, he finds himself, his wife and son bound and gagged in the same manner as the families in the Super 8 films. Ashley walks in, carrying an axe and a Super 8 camera. She then, using the axe, murders her family, and paints the walls in their blood, with several childish images such as unicorns, cats and dogs . She then goes to the projector and plays the film she just took, revealing the children in the hallway. Upon Bughuul's appearance, the children run away. Bughuul's hands are covered in the mysterious green liquid from Ellison's coffee cup, implying it was his blood. Bughuul picks up Ashley and walks into the film with her. The final shot shows the box of film in the attic of the Oswalt house, this time with a new canister that reads ""House Painting '12"". Suddenly, Bughuul appears , implying that the viewers are his next victims."
35372452	/m/0j9n7by	Tarkeeb	1984-03-16		110	"{""/m/03k50"": ""Hindi Language""}"	"{""/m/03rk0"": ""India""}"	"{""/m/02kdv5l"": ""Action""}"	Tarkeeb is an action film with suspense twists. It has Mithun Chakraborty in the lead, who had earlier done successful films Surakshaa and Wardat with Ravikant Nagaich.
35374140	/m/0j9l5qg	Rookies	1927-04-20		70	"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/05p553"": ""Comedy film"", ""/m/06ppq"": ""Silent film""}"	Tarkeeb is an action film with suspense twists. It has Mithun Chakraborty in the lead, who had earlier done successful films Surakshaa and Wardat with Ravikant Nagaich.
35376659	/m/0j9mntz	Hamateur Night	1939-01-28		8	"{""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/02hmvc"": ""Short Film"", ""/m/0hqxf"": ""Family Film"", ""/m/05p553"": ""Comedy film"", ""/m/0hcr"": ""Animation""}"	"Showing tonight at a theatre is ""Four Daughters with Selected Shorts"". Throughout the performance, members of the audience do some miscellaneous gags and Egghead keeps interrupting by singing She'll Be Coming 'Round the Mountain and getting dragged offstage. After a brief orchestra, comes talented pianist Maestro Palawitski, but he inserts a nickel in the piano to play for him. For that, the performance judge rejects him. Next up is a divo penguin, but he too is rejected. Next Hindumystic Swamiriver has his sword through the basket act with Egghead as the volunteer, but Egghead doesn't emerge after the act. Next is the ballerina flea, Teeny-Tiny-Teensy-Tinny-Tinny-Tin reciting a high-pitched version of ""Mary Had a Little Lamb"" but she as well is rejected. For the next act, Fleabag McFoodle gives instructions to his highly-trained dog. Then there is a Hamlet acting fox who is shunned by a member of the audience and rejected. Next is the balcony scene of Romeo and Juliet played by a hen and a rooster. Finally comes the final judging for the performers, but to the announcer's surprise it is Egghead himself who picked by the audience, which is now composed of many Eggheads."
35378761	/m/0j9k66_	Faraib	1983-08-19		125	"{""/m/03k50"": ""Hindi Language""}"	"{""/m/03rk0"": ""India""}"	"{""/m/0hqxf"": ""Family Film"", ""/m/07s9rl0"": ""Drama""}"	"Showing tonight at a theatre is ""Four Daughters with Selected Shorts"". Throughout the performance, members of the audience do some miscellaneous gags and Egghead keeps interrupting by singing She'll Be Coming 'Round the Mountain and getting dragged offstage. After a brief orchestra, comes talented pianist Maestro Palawitski, but he inserts a nickel in the piano to play for him. For that, the performance judge rejects him. Next up is a divo penguin, but he too is rejected. Next Hindumystic Swamiriver has his sword through the basket act with Egghead as the volunteer, but Egghead doesn't emerge after the act. Next is the ballerina flea, Teeny-Tiny-Teensy-Tinny-Tinny-Tin reciting a high-pitched version of ""Mary Had a Little Lamb"" but she as well is rejected. For the next act, Fleabag McFoodle gives instructions to his highly-trained dog. Then there is a Hamlet acting fox who is shunned by a member of the audience and rejected. Next is the balcony scene of Romeo and Juliet played by a hen and a rooster. Finally comes the final judging for the performers, but to the announcer's surprise it is Egghead himself who picked by the audience, which is now composed of many Eggheads."
35378860	/m/0j9qb3x	Le Halwa Le	2012-04-13		125	"{""/m/03k50"": ""Hindi Language"", ""/m/01c7y"": ""Bengali Language""}"	"{""/m/03rk0"": ""India""}"	"{""/m/05p553"": ""Comedy film"", ""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film""}"	"Showing tonight at a theatre is ""Four Daughters with Selected Shorts"". Throughout the performance, members of the audience do some miscellaneous gags and Egghead keeps interrupting by singing She'll Be Coming 'Round the Mountain and getting dragged offstage. After a brief orchestra, comes talented pianist Maestro Palawitski, but he inserts a nickel in the piano to play for him. For that, the performance judge rejects him. Next up is a divo penguin, but he too is rejected. Next Hindumystic Swamiriver has his sword through the basket act with Egghead as the volunteer, but Egghead doesn't emerge after the act. Next is the ballerina flea, Teeny-Tiny-Teensy-Tinny-Tinny-Tin reciting a high-pitched version of ""Mary Had a Little Lamb"" but she as well is rejected. For the next act, Fleabag McFoodle gives instructions to his highly-trained dog. Then there is a Hamlet acting fox who is shunned by a member of the audience and rejected. Next is the balcony scene of Romeo and Juliet played by a hen and a rooster. Finally comes the final judging for the performers, but to the announcer's surprise it is Egghead himself who picked by the audience, which is now composed of many Eggheads."
35382704	/m/0j9kgrv	Summer School Teachers	1974-08-01		85	"{""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/01jfsb"": ""Thriller""}"	Three friends from Iowa go to California for the summer, rent an apartment together and teach at the same high school. PE teacher Conklin  coaches an all-girl football team despite the opposition of the resident coach , and romances one of the male teachers. Sally  teaches photography and despite being engaged to a man back home, has affairs with an eccentric rock star with a food fetish, and with a male chauvinist teacher who talks her into posing nude for some photos. Chemistry teacher Denise  becomes involved with one of her students, a juvenile delinquent, who is falsely accused of participating in car stealing. Conklin uncovers that funds for sport are being misspent by the school coach . Both she and Sally are suspended but all ends happily with the girl football team triumphant.
35383707	/m/0j9q00z	Pearls and Savages	1921-12		56	{}	"{""/m/0chghy"": ""Australia""}"	"{""/m/06ppq"": ""Silent film"", ""/m/0jtdp"": ""Documentary""}"	Three friends from Iowa go to California for the summer, rent an apartment together and teach at the same high school. PE teacher Conklin  coaches an all-girl football team despite the opposition of the resident coach , and romances one of the male teachers. Sally  teaches photography and despite being engaged to a man back home, has affairs with an eccentric rock star with a food fetish, and with a male chauvinist teacher who talks her into posing nude for some photos. Chemistry teacher Denise  becomes involved with one of her students, a juvenile delinquent, who is falsely accused of participating in car stealing. Conklin uncovers that funds for sport are being misspent by the school coach . Both she and Sally are suspended but all ends happily with the girl football team triumphant.
35386077	/m/0b6124r	Zimmedaaar	1990-09-06			"{""/m/03k50"": ""Hindi Language""}"	"{""/m/03rk0"": ""India""}"	"{""/m/02kdv5l"": ""Action""}"	Three friends from Iowa go to California for the summer, rent an apartment together and teach at the same high school. PE teacher Conklin  coaches an all-girl football team despite the opposition of the resident coach , and romances one of the male teachers. Sally  teaches photography and despite being engaged to a man back home, has affairs with an eccentric rock star with a food fetish, and with a male chauvinist teacher who talks her into posing nude for some photos. Chemistry teacher Denise  becomes involved with one of her students, a juvenile delinquent, who is falsely accused of participating in car stealing. Conklin uncovers that funds for sport are being misspent by the school coach . Both she and Sally are suspended but all ends happily with the girl football team triumphant.
