19948005	/m/04ybhsz	Those Wonderful Years that Sucked	1997-04-03		109	"{""/m/01wgr"": ""Czech Language""}"	"{""/m/01mjq"": ""Czech Republic""}"	"{""/m/0hj3n0w"": ""Ensemble Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}"	"Dr. Scott McKenzie  is a college professor and ardent fan of the gunslinger culture of the Old West. A year ago, McKenzie watched his wife and son die in a car crash caused by a drunk driver attempting to flee the police. With his friend, General Joe Brodsky , McKenzie attends an auction of Wild West memorabilia, where they agree to bid on a pair of steamer trunks and split the contents between them. As the auction is conducted, flashbacks show the items' histories in the 19th century. At the time a man, Joseph Cole , is looking for a gunslinger who has a pair of distinctive ebony-handled pistols marked with stars. Some cowboys he encounters on the road point him towards the town of Crossfire, California. At the town saloon, he inquires about the man but is harassed by a trio of local thugs, one of whom shoots at him, hitting instead one of the trunks which Dr. McKenzie is bidding on in the present. Cole quickly shoots all three men dead, an event memorialized by a local photographer. In the present, McKenzie and Brodsky win the trunks at auction and McKenzie begins sorting through the contents, noticing the picture of the men who Cole killed. Under photo enhancement, McKenzie notices Cole in the background of the picture and identifies the gun Cole is carrying as a .357 Magnum from the 1980s. Despite this, chemical and spectroscopic testing indicates that the photograph is at least 100 years old. McKenzie becomes convinced that Cole is a time traveler. After writing up his findings, he is approached by a woman, Georgia Crawford , who claims to be working on similar ideas. Together they locate Crossfire in the present. When they split up to search the town, Georgia ducks into an old barn and removes a crystalline device which she uses to travel back to the 1880s. There she searches for Cole at a nearby river, but her horse is spooked by a rattlesnake. She dispatches the snake with a futuristic gun. Hurrying back to town, she is followed by Cole, who had observed her from afar. He arrives too late to stop her from traveling to the present, but he uses a device of his own to find out the time to which she traveled. In the present, McKenzie hears a noise and arrives at the barn just in time to see Georgia return from the past. When he confronts her, she admits to being one of a number of time travelers from the 26th century. Returning to McKenzie's home she explains that Cole is a renegade scientist from her time who she has been sent back to stop. She believes that Cole, who developed the time travel technology with her father, is intending to change history. Through research, Georgia and McKenzie determine that Cole is likely trying to kill Matthew Crawford, an adviser to President Grover Cleveland. The gunfighter who Cole is searching for, the mysterious ""Star-Handled Stranger,"" was a gunslinger who crucially helped protect the President and his escort from bandits. Matthew Crawford was Georgia's ancestor and killing him would erase her entire family from history, including her father who had opposed Cole's desire to continue research on time travel. McKenzie and Georgia enlist Joe Brodsky's help in determining President Cleveland's movements, but before Brodsky can give them the information, Cole murders him and flees into the past. Finding a copy of the information, they discover that Cole is traveling back to July 11, 1886, when the mysterious ""Star-Handled Stranger"" helped save President Cleveland from a bandit attack. Traveling back in time to 1886, Georgia and McKenzie watch as the attack begins. When the Stranger arrives on the scene and tries to enter the attack, he is shot dead by Cole. McKenzie then takes the Stranger's signature pistols and rides towards the battle himself. Cole follows him. While McKenzie manages to kill the attacking bandits, Cole shoots Matthew Crawford. McKenzie then kills Cole in a one-on-one duel. Returning to the stagecoach, Georgia and McKenzie discover that Matthew Crawford was merely wounded. As the stagecoach drives off, Georgia and McKenzie return to the present where Georgia gives him a gift before returning to her own time. She is somehow able to send the knowledge of the death of McKenzie's wife and child back to his earlier self so that he is able to save their lives."
19949371	/m/04ybhk1	Graveyard Alive	2003		81	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0d060g"": ""Canada""}"	"{""/m/0jb4p32"": ""Zombie Film"", ""/m/03npn"": ""Horror"", ""/m/01z4y"": ""Comedy"", ""/m/0c3351"": ""Suspense""}"	Patsy Powers  is a homely nurse who pines for handsome Dr. Dox . Unfortunately for Patsy, the well-favoured physician only has eyes for pretty Goodie Tueshuez  - a jealous-minded nurse obsessed with popularity. When a foul-smelling woodsman is admitted to the hospital with an axe imbedded in his forehead, the rest of the nurse staff runs for cover as kindly Patsy and the injured worker form a warm bond. Later, after Patsy and the rugged lumberjack share a kiss, the smitten nurse is thrown off guard when her new beau reflexively sinks his teeth into her flesh. As Patsy runs off to bandage her wound, Eastern European doctor-turned-janitor Kapotski recognizes the woodsman as a zombie and ends the man's suffering with a stake through the head. In the days that follow, Patsy's body is gradually taken over by the zombie virus. Not only does the transformation aversely affect Patsy's eating habits, it instills her with a newfound confidence that quickly catches the eye of Dr. Dox as well. Perplexed by her mousy co-worker's sudden transformation and determined to keep Dr. Dox for herself, the scheming Goody soon sets out to uncover the secret of Patsy's rising popularity. Now, as Patsy struggles to stay well fed and Dr. Dox grows increasingly inpatient with Goodie's unpalatable jealousy, the stage is set for a romance fueled by enough passion to transcend life and death.synopsis by Jason Buchanan at allmovie.com website
19949470	/m/04yft92	Murder Can Hurt You	1980-05-21		100	"{""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/05p553"": ""Comedy film""}"	Patsy Powers  is a homely nurse who pines for handsome Dr. Dox . Unfortunately for Patsy, the well-favoured physician only has eyes for pretty Goodie Tueshuez  - a jealous-minded nurse obsessed with popularity. When a foul-smelling woodsman is admitted to the hospital with an axe imbedded in his forehead, the rest of the nurse staff runs for cover as kindly Patsy and the injured worker form a warm bond. Later, after Patsy and the rugged lumberjack share a kiss, the smitten nurse is thrown off guard when her new beau reflexively sinks his teeth into her flesh. As Patsy runs off to bandage her wound, Eastern European doctor-turned-janitor Kapotski recognizes the woodsman as a zombie and ends the man's suffering with a stake through the head. In the days that follow, Patsy's body is gradually taken over by the zombie virus. Not only does the transformation aversely affect Patsy's eating habits, it instills her with a newfound confidence that quickly catches the eye of Dr. Dox as well. Perplexed by her mousy co-worker's sudden transformation and determined to keep Dr. Dox for herself, the scheming Goody soon sets out to uncover the secret of Patsy's rising popularity. Now, as Patsy struggles to stay well fed and Dr. Dox grows increasingly inpatient with Goodie's unpalatable jealousy, the stage is set for a romance fueled by enough passion to transcend life and death.synopsis by Jason Buchanan at allmovie.com website
19949537	/m/04y9rmz	Kadalora Kavithaigal	1986			"{""/m/07c9s"": ""Tamil Language""}"	"{""/m/03rk0"": ""India""}"	{}	Patsy Powers  is a homely nurse who pines for handsome Dr. Dox . Unfortunately for Patsy, the well-favoured physician only has eyes for pretty Goodie Tueshuez  - a jealous-minded nurse obsessed with popularity. When a foul-smelling woodsman is admitted to the hospital with an axe imbedded in his forehead, the rest of the nurse staff runs for cover as kindly Patsy and the injured worker form a warm bond. Later, after Patsy and the rugged lumberjack share a kiss, the smitten nurse is thrown off guard when her new beau reflexively sinks his teeth into her flesh. As Patsy runs off to bandage her wound, Eastern European doctor-turned-janitor Kapotski recognizes the woodsman as a zombie and ends the man's suffering with a stake through the head. In the days that follow, Patsy's body is gradually taken over by the zombie virus. Not only does the transformation aversely affect Patsy's eating habits, it instills her with a newfound confidence that quickly catches the eye of Dr. Dox as well. Perplexed by her mousy co-worker's sudden transformation and determined to keep Dr. Dox for herself, the scheming Goody soon sets out to uncover the secret of Patsy's rising popularity. Now, as Patsy struggles to stay well fed and Dr. Dox grows increasingly inpatient with Goodie's unpalatable jealousy, the stage is set for a romance fueled by enough passion to transcend life and death.synopsis by Jason Buchanan at allmovie.com website
19950293	/m/04yfwpf	Dirty Gertie from Harlem U.S.A.	1946		65	"{""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/07s9rl0"": ""Drama""}"	"Gertie LaRue  is a nightclub entertainer from the Harlem neighborhood of New York City. She arrives on the Caribbean island of ""Rinidad"" to perform as the headliner in a revue at the Paradise Hotel. Gertie has earned the nickname ""Dirty Gertie"" for the casual nature in which she entices and then humiliates men. On the island she attracts the attention of two US military officers--a soldier and a sailor--whom she nicknames ""Tight Pants"" and ""High Pockets,"" respectively. The men enjoy sharing Gertie’s affections. However, Diamond Joe, the owner of the hotel, finds himself falling for Gertie and begins to shower her with gifts. Gertie also attracts the attention of two missionaries, Mr. Christian and Ezra Crumm, who keep watch on Gertie’s activities. However, a former boyfriend from Harlem tracks Gertie to the island. Unable to possess her, the ex-boyfriend kills her while insisting that he loves her.Black Film Center/Archive, University of Indiana“Run Chile Run: Critical Analyses of Three Films By Spencer Williams,” Spring 1994, Sync: The Regent Journal of Film and Video, Regent University“Obituary: Francine Everett,” The Independent , June 25, 1999"
19950563	/m/04yf0qx	The Blood Stained Route Map	2002			{}	{}	"{""/m/07s9rl0"": ""Drama""}"	"Gertie LaRue  is a nightclub entertainer from the Harlem neighborhood of New York City. She arrives on the Caribbean island of ""Rinidad"" to perform as the headliner in a revue at the Paradise Hotel. Gertie has earned the nickname ""Dirty Gertie"" for the casual nature in which she entices and then humiliates men. On the island she attracts the attention of two US military officers--a soldier and a sailor--whom she nicknames ""Tight Pants"" and ""High Pockets,"" respectively. The men enjoy sharing Gertie’s affections. However, Diamond Joe, the owner of the hotel, finds himself falling for Gertie and begins to shower her with gifts. Gertie also attracts the attention of two missionaries, Mr. Christian and Ezra Crumm, who keep watch on Gertie’s activities. However, a former boyfriend from Harlem tracks Gertie to the island. Unable to possess her, the ex-boyfriend kills her while insisting that he loves her.Black Film Center/Archive, University of Indiana“Run Chile Run: Critical Analyses of Three Films By Spencer Williams,” Spring 1994, Sync: The Regent Journal of Film and Video, Regent University“Obituary: Francine Everett,” The Independent , June 25, 1999"
19950670	/m/04yh4qb	Le Miroir à deux faces	1958-10-15		96	{}	"{""/m/0f8l9c"": ""France"", ""/m/03rjj"": ""Italy""}"	"{""/m/068d7h"": ""Romantic drama"", ""/m/0hj3nbk"": ""Marriage Drama"", ""/m/07s9rl0"": ""Drama""}"	Pierre Tardivet, a professor, marries Marie-José Vauzange, a sensitive and inteligent girl with bad looks. Tardivet's mean spirit soon appears in their marital life, plunging Marie-José in a monotonous life. Two children are born out this marriage. Tardivet suffers a car accident and he is tended by Dr. Bosc, a famous plastic surgeon. Bosc operates on Marie-José and her transformation is total. Tardivet's meannes exacerbates as he becomes embittered and hateful towards the new looks of his wife whom he does not consider his anymore. He kills Dr. Bosc at the time when Marie-José and her sister's husband, Gérard Durieu, want to elope and restart their lives. Aware of her duties, she renounces her happiness to tend to her husband and children.
19950875	/m/04y855z	Maxime	1958-11-26		124	"{""/m/064_8sq"": ""French Language""}"	"{""/m/0f8l9c"": ""France""}"	"{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}"	Pierre Tardivet, a professor, marries Marie-José Vauzange, a sensitive and inteligent girl with bad looks. Tardivet's mean spirit soon appears in their marital life, plunging Marie-José in a monotonous life. Two children are born out this marriage. Tardivet suffers a car accident and he is tended by Dr. Bosc, a famous plastic surgeon. Bosc operates on Marie-José and her transformation is total. Tardivet's meannes exacerbates as he becomes embittered and hateful towards the new looks of his wife whom he does not consider his anymore. He kills Dr. Bosc at the time when Marie-José and her sister's husband, Gérard Durieu, want to elope and restart their lives. Aware of her duties, she renounces her happiness to tend to her husband and children.
19950949	/m/04yf20h	Welcome to Pyongyang Animal Park	2001		120	"{""/m/02hwhyv"": ""Korean Language""}"	{}	"{""/m/07s9rl0"": ""Drama""}"	Pierre Tardivet, a professor, marries Marie-José Vauzange, a sensitive and inteligent girl with bad looks. Tardivet's mean spirit soon appears in their marital life, plunging Marie-José in a monotonous life. Two children are born out this marriage. Tardivet suffers a car accident and he is tended by Dr. Bosc, a famous plastic surgeon. Bosc operates on Marie-José and her transformation is total. Tardivet's meannes exacerbates as he becomes embittered and hateful towards the new looks of his wife whom he does not consider his anymore. He kills Dr. Bosc at the time when Marie-José and her sister's husband, Gérard Durieu, want to elope and restart their lives. Aware of her duties, she renounces her happiness to tend to her husband and children.
19951068	/m/04ycv_f	The Low Life	1996		98	"{""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie""}"	Pierre Tardivet, a professor, marries Marie-José Vauzange, a sensitive and inteligent girl with bad looks. Tardivet's mean spirit soon appears in their marital life, plunging Marie-José in a monotonous life. Two children are born out this marriage. Tardivet suffers a car accident and he is tended by Dr. Bosc, a famous plastic surgeon. Bosc operates on Marie-José and her transformation is total. Tardivet's meannes exacerbates as he becomes embittered and hateful towards the new looks of his wife whom he does not consider his anymore. He kills Dr. Bosc at the time when Marie-José and her sister's husband, Gérard Durieu, want to elope and restart their lives. Aware of her duties, she renounces her happiness to tend to her husband and children.
19951090	/m/04yg9kg	Spirit of Korean Celadon	2002			{}	{}	"{""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama""}"	Pierre Tardivet, a professor, marries Marie-José Vauzange, a sensitive and inteligent girl with bad looks. Tardivet's mean spirit soon appears in their marital life, plunging Marie-José in a monotonous life. Two children are born out this marriage. Tardivet suffers a car accident and he is tended by Dr. Bosc, a famous plastic surgeon. Bosc operates on Marie-José and her transformation is total. Tardivet's meannes exacerbates as he becomes embittered and hateful towards the new looks of his wife whom he does not consider his anymore. He kills Dr. Bosc at the time when Marie-José and her sister's husband, Gérard Durieu, want to elope and restart their lives. Aware of her duties, she renounces her happiness to tend to her husband and children.
